rank,title,year,country,genres,description,rating_kp,rating_imdb,votes_imdb
1,Побег из Шоушенка,1994,United States,Драма,"Неправомерно осужденный банкир на протяжении четверти века формирует близкую дружбу с закоренелым преступником, сохраняя при этом свою человечность благодаря простым проявлениям сострадания.",9.1,9.3,3200000
2,Крестный отец,1972,United States,"криминал, драма",Стареющий глава династии организованной преступности передает контроль над своей тайной империей своему сопротивляющемуся сыну.,8.7,9.2,2200000
3,Атака Титанов. Последняя Атака,2024,Japan,"Анимация, Боевик, Приключения","Судьба мира висит на волоске, когда Эрен высвобождает величайшую силу Титанов. С пылкой решимостью уничтожить всех, кто угрожает Элдии, он возглавляет неудержимую армию...Читать все",8.8,9.2,25000
4,Темный рыцарь,2008,"США, Великобритания","фантастика, боевик, триллер, криминал, драма","Бэтмен поднимает ставки в войне с криминалом. С помощью лейтенанта Джима Гордона и прокурора Харви Дента он намерен очистить улицы Готэма от преступности. Сотрудничество оказывается эффективным, но скоро они обнаружат себя посреди хаоса, развязанного восходящим криминальным гением, известным напуганным горожанам под именем Джокер.",8.5,9.1,3100000
5,Тёмный рыцарь,2008,United States,"Боевик, Криминал, Драма","Когда угроза, известная как Джокер, сеет хаос и хаос среди жителей Готэма, Бэтмен, Джеймс Гордон и Харви Дент должны работать вместе, чтобы положить конец безумию.",8.5,9.1,3100000
6,12 разгневанных мужчин,1956,США,"драма, детектив, криминал","Юношу обвиняют в убийстве собственного отца, ему грозит электрический стул. Двенадцать присяжных собираются, чтобы вынести вердикт: виновен или нет. С начала заседания почти все считают подсудимого виновным, и лишь только один из двенадцати позволил себе усомниться. И он решает убедить остальных в своей правоте.",8.5,9,978000
7,Крестный отец 2,1974,United States,"криминал, драма","Описаны ранние годы жизни и карьера Вито Корлеоне в Нью-Йорке 1920-х годов, в то время как его сын Майкл расширяет и ужесточает контроль над семейным преступным синдикатом.",8.5,9,1500000
8,Властелин колец: Возвращение короля,2003,New Zealand,"Приключения, Драма, Фэнтези","Гэндальф и Арагорн ведут Мир Людей против армии Саурона, чтобы отвлечь его взгляд от Фродо и Сэма, когда они приближаются к Роковой горе с Единым Кольцом.",8.7,9,2200000
9,Список Шиндлера,1993,United States,"Биография, Драма, История","В оккупированной немцами Польше во время Второй мировой войны промышленник Оскар Шиндлер постепенно начинает беспокоиться о своей еврейской рабочей силе после того, как стал свидетелем их преследования со стороны нацистов.",8.9,9,1600000
10,Властелин колец: Братство кольца,2001,New Zealand,"Приключения, Драма, Фэнтези","Кроткий хоббит из Шира и восемь его спутников отправляются в путешествие, чтобы уничтожить могущественное Единое Кольцо и спасти Средиземье от Темного Лорда Саурона.",8.6,8.9,2200000
11,Криминальное чтиво,1994,United States,"криминал, драма","Жизни двух наемных убийц, боксера, гангстера и его жены, а также пары бандитов из закусочной переплетаются в четырех историях о насилии и искуплении.",8.7,8.8,2400000
12,"Хороший, плохой, злой",1966,Italy,"приключения, драма, вестерн","Мошенничество с охотой за головами объединяет двух мужчин в непростой союз против третьего в гонке за сокровищами в золоте, похороненными на отдаленном кладбище.",8.5,8.8,887000
13,Властелин колец: Две крепости,2002,New Zealand,"Приключения, Драма, Фэнтези","В то время как Фродо и Сэм приближаются к Мордору с помощью хитрого Голлума, разделенное сообщество противостоит новому союзнику Саурона, Саруману, и его ордам Изенгарда.",8.6,8.8,1900000
14,Форрест Гамп,1994,United States,"Драма, Романтика","История Соединенных Штатов с 1950-х по 70-е годы разворачивается с точки зрения жителя Алабамы с IQ 75, который жаждет воссоединения со своей возлюбленной детства.",8.9,8.8,2500000
15,Бойцовский клуб,1999,United States,"криминал, драма, триллер","Офисный работник, страдающий бессонницей, и наплевательский мыловар создают подпольный бойцовский клуб, который перерастает в нечто большее.",8.7,8.8,2600000
16,Начало,2010,United Kingdom,"Боевики, Приключения, Научная фантастика","Вору, который крадет корпоративные секреты с помощью технологии обмена мечтами, предстоит обратная задача: внедрить идею в сознание генерального директора, но его трагическое прошлое может обречь проект на провал...Читать полностью",8.7,8.8,2800000
17,Фарго,1996,United Kingdom,"криминал, драма, триллер","Неумелое преступление продавца автомобилей из Миннесоты Джерри Лундегаарда разваливается из-за неумелых действий его и его приспешников, а также настойчивой полицейской работы довольно беременной Мардж Гандерсон.",8.3,8.8,466000
