rank,title,year,country,genres,description,rating_kp,rating_imdb,votes_imdb,description_processed,topic,topic_confidence,predicted_topic,predicted_probability
1,Побег из Шоушенка,1994,United States,Драма,"Неправомерно осужденный банкир на протяжении четверти века формирует близкую дружбу с закоренелым преступником, сохраняя при этом свою человечность благодаря простым проявлениям сострадания.",9.1,9.3,3200000,неправомерно осудить банкир протяжение четверть век формировать близкий дружба закоренелый преступник сохранять человечность благодаря простой проявление сострадание,3,0.05928568291187291,3,0.6401141162058845
2,Крестный отец,1972,United States,"криминал, драма",Стареющий глава династии организованной преступности передает контроль над своей тайной империей своему сопротивляющемуся сыну.,8.7,9.2,2200000,стареть глава династия организовать преступность передавать контроль тайна империя сопротивляться сын,3,0.06337984152685552,3,0.6114614762204675
3,Атака Титанов. Последняя Атака,2024,Japan,"Анимация, Боевик, Приключения","Судьба мира висит на волоске, когда Эрен высвобождает величайшую силу Титанов. С пылкой решимостью уничтожить всех, кто угрожает Элдии, он возглавляет неудержимую армию...Читать все",8.8,9.2,25000,судьба мир висеть волосок эрен высвобождать великий сила титан пылкий решимость уничтожить весь угрожать элдия возглавлять неудержимый армия читать,0,0.09621590317096718,0,0.6927916114373227
4,Тёмный рыцарь,2008,United States,"Боевик, Криминал, Драма","Когда угроза, известная как Джокер, сеет хаос и хаос среди жителей Готэма, Бэтмен, Джеймс Гордон и Харви Дент должны работать вместе, чтобы положить конец безумию.",8.5,9.1,3100000,угроза известный джокер сеять хаос хаос среди житель готэма бэтмена джеймс гордон харви дента работать вместе положить конец безумие,0,0.06474777672606186,0,0.5705414048070026
5,12 разгневанных мужчин,1957,United States,"криминал, драма","Присяжные по делу об убийстве в Нью-Йорке разочарованы одним членом, чья скептическая осторожность заставляет их более тщательно рассматривать доказательства, прежде чем выносить поспешный вердикт.",8.5,9.0,978000,присяжный дело убийство нью йорк разочаровать член чей скептический осторожность заставлять тщательно рассматривать доказательство прежде выносить поспешный вердикт,3,0.17529304569874993,3,0.6529852029777679
6,Крестный отец 2,1974,United States,"криминал, драма","Описаны ранние годы жизни и карьера Вито Корлеоне в Нью-Йорке 1920-х годов, в то время как его сын Майкл расширяет и ужесточает контроль над семейным преступным синдикатом.",8.5,9.0,1500000,описать ранний год жизнь карьера вить корлеон нью йорк год время сын майкл расширять ужесточать контроль семейный преступный синдикат,3,0.2688355279859051,3,0.7424368369906263
7,Властелин колец: Возвращение короля,2003,New Zealand,"Приключения, Драма, Фэнтези","Гэндальф и Арагорн ведут Мир Людей против армии Саурона, чтобы отвлечь его взгляд от Фродо и Сэма, когда они приближаются к Роковой горе с Единым Кольцом.",8.7,9.0,2200000,гэндальф арагорн вести мир человек против армия саурон отвлечь взгляд фродый сэм приближаться роковой гора единый кольцо,0,0.08665968001362778,0,0.7537260597822053
8,Список Шиндлера,1993,United States,"Биография, Драма, История","В оккупированной немцами Польше во время Второй мировой войны промышленник Оскар Шиндлер постепенно начинает беспокоиться о своей еврейской рабочей силе после того, как стал свидетелем их преследования со стороны нацистов.",8.9,9.0,1600000,оккупировать немец польша время второй мировой война промышленник оскар шиндлера постепенно начинать беспокоиться еврейский рабочий сила стать свидетель преследование сторона нацист,2,0.38842582780152396,2,0.4212948257522661
9,Властелин колец: Братство кольца,2001,New Zealand,"Приключения, Драма, Фэнтези","Кроткий хоббит из Шира и восемь его спутников отправляются в путешествие, чтобы уничтожить могущественное Единое Кольцо и спасти Средиземье от Темного Лорда Саурона.",8.6,8.9,2200000,кроткий хоббит шир восемь спутник отправляться путешествие уничтожить могущественный единый кольцо спасти средиземье тёмный лорд саурон,0,0.0639988478494133,0,0.7423270919453776
10,Криминальное чтиво,1994,United States,"криминал, драма","Жизни двух наемных убийц, боксера, гангстера и его жены, а также пары бандитов из закусочной переплетаются в четырех историях о насилии и искуплении.",8.7,8.8,2400000,жизнь наёмный убийца боксёр гангстер жена также пара бандит закусочный переплетаться четыре история насилие искупление,3,0.12080986365775528,3,0.7230504146274478
11,"Хороший, плохой, злой",1966,Italy,"приключения, драма, вестерн","Мошенничество с охотой за головами объединяет двух мужчин в непростой союз против третьего в гонке за сокровищами в золоте, похороненными на отдаленном кладбище.",8.5,8.8,887000,мошенничество охота голова объединять мужчина непростой союз против третий гонка сокровище золото похоронить отдалить кладбище,0,0.020494735792879436,0,0.6608173516280895
12,Властелин колец: Две крепости,2002,New Zealand,"Приключения, Драма, Фэнтези","В то время как Фродо и Сэм приближаются к Мордору с помощью хитрого Голлума, разделенное сообщество противостоит новому союзнику Саурона, Саруману, и его ордам Изенгарда.",8.6,8.8,1900000,время фродый сэм приближаться мордору помощь хитрый голлум разделить сообщество противостоять союзник саурон сарумана орда изенгарда,2,0.05037473927928243,0,0.44218904529308584
13,Форрест Гамп,1994,United States,"Драма, Романтика","История Соединенных Штатов с 1950-х по 70-е годы разворачивается с точки зрения жителя Алабамы с IQ 75, который жаждет воссоединения со своей возлюбленной детства.",8.9,8.8,2500000,история соединить штат год разворачиваться точка зрение житель алабама жаждать воссоединение возлюбить детство,3,0.14597666154509495,3,0.5615056141655148
14,Бойцовский клуб,1999,United States,"криминал, драма, триллер","Офисный работник, страдающий бессонницей, и наплевательский мыловар создают подпольный бойцовский клуб, который перерастает в нечто большее.",8.7,8.8,2600000,офисный работник страдать бессонница наплевательский мыловар создавать подпольный бойцовский клуб перерастать нечто больший,3,0.03126801229377523,3,0.5906906348353516
